,index,absentee_count_progress_pres,absentee_max_ballots_pres,absentee_method_pres,absentee_outstanding_pres,absentee_results_dem_pres,absentee_results_rep_pres,absentee_results_trd_pres,absentee_votes_pres,eevp_pres,eevp_display_pres,eevp_source_pres,eevp_value_pres,fips_pres,had_dem_pres,had_rep_pres,had_trd_pres,last_updated_pres,leader_margin_display_pres,leader_margin_name_display_pres,leader_margin_value_pres,leader_party_id_pres,margin2012,margin2016,margin2020,name,precincts_pres,provisional_count_progress_pres,provisional_outstanding_pres,race_id_pres,reporting_pres,results_dem_pres,results_rep_pres,results_trd_pres,state,tot_exp_vote_pres,turnout_stage_pres,votes_pres,votes2012,votes2016,rep_share_pres,dem_share_pres,trd_share_pres,absentee_count_progress_sen,absentee_max_ballots_sen,absentee_method_sen,absentee_outstanding_sen,absentee_results_dem_sen,absentee_results_rep_sen,absentee_results_trd_sen,absentee_votes_sen,eevp_sen,eevp_display_sen,eevp_source_sen,eevp_value_sen,fips_sen,had_dem_sen,had_rep_sen,had_trd_sen,last_updated_sen,leader_margin_display_sen,leader_margin_name_display_sen,leader_margin_value_sen,leader_party_id_sen,precincts_sen,provisional_count_progress_sen,provisional_outstanding_sen,race_id_sen,reporting_sen,results_dem_sen,results_rep_sen,results_trd_sen,tot_exp_vote_sen,turnout_stage_sen,votes_sen,rep_share_sen,dem_share_sen,trd_share_sen
0,0,unknown,4000.0,Released as a separate subtotal as first report of the night,,553,378,24,955,56.0,56% reported,edison,56%,02901,True,True,True,2020-11-04T10:43:52Z,R+14,Trump +14,14.0908,republican,,,14.0908,ED 1,9,,,AK-G-P-2020-11-03,5,1723,2322,206,Alaska,7634.0,2.0,4251,,,0.5462244177840508,0.4053163961420842,0.04845918607386497,unknown,4000.0,Released as a separate subtotal as first report of the night,,540.0,387.0,29.0,956.0,56.0,56% reported,edison,56%,02901,True,True,True,2020-11-04T10:43:44Z,R+15,Sullivan +15,14.67545,republican,9.0,,,AK-G-S-2020-11-03,5.0,1699.0,2323.0,230.0,7634.0,2.0,4252.0,0.5463311382878645,0.3995766698024459,0.05409219190968956
1,1,unknown,4000.0,Released as a separate subtotal as first report of the night,,297,1042,30,1369,47.0,47% reported,edison,47%,02910,True,True,True,2020-11-04T10:44:01Z,R+61,Trump +61,60.82685,republican,,,60.82685,ED 10,11,,,AK-G-P-2020-11-03,5,863,3835,188,Alaska,10396.0,2.0,4886,,,0.7848956201391731,0.17662709783053623,0.038477282030290626,unknown,4000.0,Released as a separate subtotal as first report of the night,,293.0,1041.0,31.0,1365.0,47.0,47% reported,edison,47%,02910,True,True,True,2020-11-04T10:43:51Z,R+58,Sullivan +58,57.6212,republican,11.0,,,AK-G-S-2020-11-03,5.0,906.0,3711.0,251.0,10396.0,2.0,4868.0,0.7623253903040262,0.18611339359079704,0.051561216105176666
2,2,unknown,4000.0,Released as a separate subtotal as first report of the night,,806,1576,59,2441,47.0,47% reported,edison,47%,02911,True,True,True,2020-11-04T10:44:01Z,R+47,Trump +47,47.1709,republican,,,47.1709,ED 11,9,,,AK-G-P-2020-11-03,4,1289,3740,167,Alaska,11142.0,2.0,5196,,,0.7197844495765974,0.24807544264819092,0.0321401077752117,unknown,4000.0,Released as a separate subtotal as first report of the night,,783.0,1566.0,84.0,2433.0,47.0,47% reported,edison,47%,02911,True,True,True,2020-11-04T10:43:52Z,R+47,Sullivan +47,47.32384,republican,9.0,,,AK-G-S-2020-11-03,4.0,1254.0,3712.0,228.0,11142.0,2.0,5194.0,0.7146707739699654,0.24143242202541393,0.04389680400462072
3,3,unknown,4000.0,Released as a separate subtotal as first report of the night,,360,979,26,1365,21.0,21% reported,edison,21%,02912,True,True,True,2020-11-04T10:44:02Z,R+56,Trump +56,55.91165,republican,,,55.91165,ED 12,7,,,AK-G-P-2020-11-03,1,482,1773,54,Alaska,10974.0,2.0,2309,,,0.7678648765699437,0.2087483759203118,0.02338674750974448,unknown,4000.0,Released as a separate subtotal as first report of the night,,353.0,978.0,35.0,1366.0,21.0,21% reported,edison,21%,02912,True,True,True,2020-11-04T10:43:52Z,R+55,Sullivan +55,55.48833,republican,7.0,,,AK-G-S-2020-11-03,1.0,478.0,1762.0,74.0,10974.0,2.0,2314.0,0.7614520311149524,0.2065687121866897,0.03197925669835782
4,4,unknown,4000.0,Released as a separate subtotal as first report of the night,,128,146,7,281,43.0,43% reported,edison,43%,02913,True,True,True,2020-11-04T10:44:03Z,R+48,Trump +48,47.90957,republican,,,47.90957,ED 13,6,,,AK-G-P-2020-11-03,3,752,2299,178,Alaska,7513.0,2.0,3229,,,0.7119851347166305,0.23288943945493962,0.05512542582842985,unknown,4000.0,Released as a separate subtotal as first report of the night,,125.0,149.0,6.0,280.0,43.0,43% reported,edison,43%,02913,True,True,True,2020-11-04T10:43:53Z,R+49,Sullivan +49,49.25651,republican,6.0,,,AK-G-S-2020-11-03,3.0,731.0,2321.0,176.0,7513.0,2.0,3228.0,0.7190210656753407,0.22645600991325898,0.05452292441140025
5,5,unknown,4000.0,Released as a separate subtotal as first report of the night,,0,0,0,0,34.0,34% reported,edison,34%,02914,True,True,True,2020-11-04T10:44:04Z,R+52,Trump +52,51.90123,republican,,,51.90123,ED 14,7,,,AK-G-P-2020-11-03,2,882,2984,184,Alaska,11983.0,2.0,4050,,,0.7367901234567901,0.21777777777777776,0.0454320987654321,unknown,4000.0,Released as a separate subtotal as first report of the night,,0.0,0.0,0.0,0.0,34.0,34% reported,edison,34%,02914,True,True,True,2020-11-04T10:43:53Z,R+54,Sullivan +54,54.42945,republican,7.0,,,AK-G-S-2020-11-03,2.0,833.0,3051.0,191.0,11983.0,2.0,4075.0,0.7487116564417178,0.20441717791411043,0.04687116564417178
6,6,unknown,4000.0,Released as a separate subtotal as first report of the night,,248,220,9,477,38.0,38% reported,edison,38%,02915,True,True,True,2020-11-04T10:44:05Z,R+15,Trump +15,14.98401,republican,,,14.98401,ED 15,5,,,AK-G-P-2020-11-03,2,879,1207,103,Alaska,5729.0,2.0,2189,,,0.5513933302878027,0.40155322064869803,0.047053449063499314,unknown,4000.0,Released as a separate subtotal as first report of the night,,242.0,226.0,12.0,480.0,38.0,38% reported,edison,38%,02915,True,True,True,2020-11-04T10:43:54Z,R+15,Sullivan +15,15.30752,republican,5.0,,,AK-G-S-2020-11-03,2.0,865.0,1201.0,129.0,5729.0,2.0,2195.0,0.5471526195899772,0.3940774487471526,0.05876993166287016
7,7,unknown,4000.0,Released as a separate subtotal as first report of the night,,166,51,6,223,36.0,36% reported,edison,36%,02916,True,True,True,2020-11-04T10:44:06Z,R+17,Trump +17,17.1737,republican,,,17.1737,ED 16,7,,,AK-G-P-2020-11-03,3,1196,1721,140,Alaska,8551.0,2.0,3057,,,0.5629702322538437,0.3912332351979064,0.04579653254824992,unknown,4000.0,Released as a separate subtotal as first report of the night,,164.0,51.0,7.0,222.0,36.0,36% reported,edison,36%,02916,True,True,True,2020-11-04T10:43:54Z,R+18,Sullivan +18,17.91094,republican,7.0,,,AK-G-S-2020-11-03,2.0,1167.0,1714.0,173.0,8551.0,2.0,3054.0,0.5612311722331369,0.38212180746561886,0.05664702030124427
8,8,unknown,4000.0,Released as a separate subtotal as first report of the night,,469,269,17,755,32.0,32% reported,edison,32%,02917,True,True,True,2020-11-04T10:43:23Z,R+0.2,Trump +0.2,0.20024,republican,,,0.20024,ED 17,7,,,AK-G-P-2020-11-03,2,1192,1197,108,Alaska,7806.0,2.0,2497,,,0.47937525030036043,0.4773728474169003,0.043251902282739285,unknown,4000.0,Released as a separate subtotal as first report of the night,,460.0,277.0,18.0,755.0,32.0,32% reported,edison,32%,02917,True,True,True,2020-11-04T10:43:56Z,R+1.3,Sullivan +1.3,1.32637,republican,7.0,,,AK-G-S-2020-11-03,2.0,1162.0,1195.0,131.0,7806.0,2.0,2488.0,0.4803054662379421,0.4670418006430868,0.05265273311897106
9,9,unknown,4000.0,Released as a separate subtotal as first report of the night,,785,416,24,1225,35.0,35% reported,edison,35%,02918,True,True,True,2020-11-04T10:43:23Z,D+10,Biden +10,9.54147,democrat,,,-9.54147,ED 18,10,,,AK-G-P-2020-11-03,3,1576,1293,97,Alaska,8512.0,2.0,2966,,,0.43594066082265676,0.5313553607552259,0.03270397842211733,unknown,4000.0,Released as a separate subtotal as first report of the night,,765.0,425.0,23.0,1213.0,35.0,35% reported,edison,35%,02918,True,True,True,2020-11-04T10:43:57Z,D+9,Gross +9,8.75888,democrat,10.0,,,AK-G-S-2020-11-03,3.0,1550.0,1291.0,116.0,8512.0,2.0,2957.0,0.43659113966858304,0.524179912073047,0.03922894825836997
