"","StrAbsenteeD","StrElectionD","StrTotalD","StrAbsenteeR","StrElectionR","StrTotalR","StrAbsenteeO","StrElectionO","StrTotalO","StrVotesTotal","MixAbsenteeD","MixElectionD","MixTotalD","MixAbsenteeR","MixElectionR","MixTotalR","MixAbsenteeO","MixElectionO","MixTotalO","MixVotesTotal","TotAbsenteeD","TotElectionD","TotTotalD","TotAbsenteeR","TotElectionR","TotTotalR","TotAbsenteeO","TotElectionO","TotTotalO","TotVotesTotal"
"Addison Twp 1",174,52,226,326,347,673,2,4,6,905,170,43,213,204,246,450,11,7,18,681,344,95,439,530,593,1123,13,11,24,1586
"Addison Twp 2",210,26,236,401,315,716,6,2,8,960,197,51,248,205,175,380,11,7,18,646,407,77,484,606,490,1096,17,9,26,1606
"Addison Twp 3",131,24,155,213,222,435,1,3,4,594,143,38,181,110,168,278,2,6,8,467,274,62,336,323,390,713,3,9,12,1061
"Bloomfield Twp 1",318,69,387,229,163,392,2,5,7,786,245,53,298,124,101,225,6,-1,5,528,563,122,685,353,264,617,8,4,12,1314
"Bloomfield Twp 2",481,129,610,260,176,436,3,4,7,1053,378,111,489,154,120,274,9,10,19,782,859,240,1099,414,296,710,12,14,26,1835
"Bloomfield Twp 3",498,123,621,219,152,371,3,3,6,998,322,88,410,127,87,214,14,2,16,640,820,211,1031,346,239,585,17,5,22,1638
"Bloomfield Twp 4",334,69,403,222,140,362,6,0,6,771,238,52,290,104,91,195,4,5,9,494,572,121,693,326,231,557,10,5,15,1265
"Bloomfield Twp 5",403,131,534,242,247,489,5,4,9,1032,416,130,546,156,117,273,12,5,17,836,819,261,1080,398,364,762,17,9,26,1868
"Bloomfield Twp 6",348,74,422,364,185,549,4,3,7,978,347,86,433,159,125,284,6,2,8,725,695,160,855,523,310,833,10,5,15,1703
"Bloomfield Twp 7",334,78,412,312,267,579,3,2,5,996,413,98,511,165,181,346,12,8,20,877,747,176,923,477,448,925,15,10,25,1873
"Bloomfield Twp 8",459,57,516,325,140,465,2,0,2,983,377,60,437,173,65,238,18,5,23,698,836,117,953,498,205,703,20,5,25,1681
"Bloomfield Twp 9",436,63,499,358,205,563,2,1,3,1065,431,71,502,215,144,359,21,8,29,890,867,134,1001,573,349,922,23,9,32,1955
"Bloomfield Twp 10",282,55,337,244,208,452,4,0,4,793,402,80,482,141,83,224,10,4,14,720,684,135,819,385,291,676,14,4,18,1513
"Bloomfield Twp 11",298,41,339,177,121,298,1,2,3,640,298,33,331,127,66,193,6,4,10,534,596,74,670,304,187,491,7,6,13,1174
"Bloomfield Twp 12",409,50,459,256,177,433,6,1,7,899,449,52,501,185,86,271,2,3,5,777,858,102,960,441,263,704,8,4,12,1676
"Bloomfield Twp 13",435,71,506,176,169,345,0,1,1,852,348,63,411,121,98,219,12,16,28,658,783,134,917,297,267,564,12,17,29,1510
"Bloomfield Twp 14",370,57,427,176,103,279,2,0,2,708,412,78,490,119,102,221,7,3,10,721,782,135,917,295,205,500,9,3,12,1429
"Bloomfield Twp 15",530,94,624,353,265,618,2,0,2,1244,422,80,502,269,117,386,9,9,18,906,952,174,1126,622,382,1004,11,9,20,2150
"Bloomfield Twp 16",384,43,427,538,271,809,2,1,3,1239,644,125,769,305,267,572,29,8,37,1378,1028,168,1196,843,538,1381,31,9,40,2617
"Bloomfield Twp 17",566,85,651,233,176,409,3,0,3,1063,540,75,615,146,86,232,14,4,18,865,1106,160,1266,379,262,641,17,4,21,1928
"Bloomfield Twp 18",333,58,391,310,212,522,1,3,4,917,447,111,558,196,138,334,9,6,15,907,780,169,949,506,350,856,10,9,19,1824
"Brandon Twp 1",191,62,253,244,397,641,2,6,8,902,236,91,327,192,331,523,13,9,22,872,427,153,580,436,728,1164,15,15,30,1774
"Brandon Twp 2",244,62,306,333,395,728,4,9,13,1047,249,121,370,188,313,501,12,8,20,891,493,183,676,521,708,1229,16,17,33,1938
"Brandon Twp 3",192,79,271,289,512,801,4,13,17,1089,264,146,410,214,352,566,15,9,24,1000,456,225,681,503,864,1367,19,22,41,2089
"Brandon Twp 4",250,84,334,366,534,900,2,11,13,1247,301,95,396,231,373,604,19,12,31,1031,551,179,730,597,907,1504,21,23,44,2278
"Brandon Twp 5",103,125,228,54,259,313,1,14,15,556,54,91,145,25,168,193,7,1,8,346,157,216,373,79,427,506,8,15,23,902
"Brandon Twp 6",84,58,142,68,180,248,6,10,16,406,101,75,176,82,182,264,-1,-1,-2,438,185,133,318,150,362,512,5,9,14,844
"Commerce Twp 1",265,78,343,353,324,677,8,5,13,1033,311,82,393,211,228,439,8,8,16,848,576,160,736,564,552,1116,16,13,29,1881
"Commerce Twp 2",328,78,406,326,308,634,2,8,10,1050,308,95,403,201,199,400,14,7,21,824,636,173,809,527,507,1034,16,15,31,1874
"Commerce Twp 3",519,89,608,391,243,634,3,1,4,1246,378,82,460,174,151,325,9,2,11,796,897,171,1068,565,394,959,12,3,15,2042
"Commerce Twp 4",308,79,387,317,349,666,2,5,7,1060,326,104,430,201,227,428,17,3,20,878,634,183,817,518,576,1094,19,8,27,1938
"Commerce Twp 5",320,48,368,407,326,733,5,4,9,1110,370,92,462,239,234,473,8,3,11,946,690,140,830,646,560,1206,13,7,20,2056
